oferta,recamaras,bathrooms,mts,lat,lon,fecha_consulta,fuente,precio,precio_m2,cvegeo,cve_ent,cve_mun,nom_mun,tipo,tipo_vivi
departamento en renta en monterrey centro,2.0,2.0,75.0,25.676095,-100.324793,2025-05-05 17:25:47.268265,lamudi,24000.0,320.0,19039,19,039,Monterrey,renta,vertical
casa en renta en puerta de hierro cumbres,3.0,2.0,,25.74969,-100.417084,2025-05-05 17:25:47.268265,lamudi,28500.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en colinas de san jeronimo,1.0,1.0,100.0,25.6851951,-100.3743481,2025-05-05 17:25:47.268265,lamudi,27000.0,270.0,19039,19,039,Monterrey,renta,vertical
casa en renta en unidad modelo,3.0,2.0,229.0,25.7415028,-100.3546813,2025-05-05 17:25:47.268265,lamudi,15000.0,65.50218340611353,19039,19,039,Monterrey,renta,horizontal
departamento en renta en colinas de san jeronimo,3.0,2.0,,25.68245685,-100.37160605,2025-05-05 17:25:47.268265,lamudi,32500.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en buenos aires,2.0,1.0,70.0,25.667921,-100.2784912,2025-05-05 17:25:47.268265,lamudi,13500.0,192.8571428571429,19039,19,039,Monterrey,renta,vertical
loft en renta en monterrey centro,1.0,1.0,35.0,25.6742343,-100.3115287,2025-05-05 17:25:47.268265,lamudi,20000.0,571.4285714285714,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,1.0,1.0,35.0,25.6742343,-100.3115287,2025-05-05 17:25:47.268265,lamudi,20000.0,571.4285714285714,19039,19,039,Monterrey,renta,vertical
departamento en renta en colinas del huajuco,3.0,2.0,130.0,25.5866255,-100.2460981,2025-05-05 17:25:47.268265,lamudi,35000.0,269.2307692307692,19039,19,039,Monterrey,renta,vertical
casa en renta en el mirador de las mitras,2.0,2.0,193.0,25.7430819,-100.3918205,2025-05-05 17:25:47.268265,lamudi,15000.0,77.72020725388602,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey,3.0,2.0,158.0,25.6863582,-100.3761083,2025-05-05 17:25:47.268265,lamudi,23500.0,148.73417721518987,19039,19,039,Monterrey,renta,vertical
casa en renta en fraccionamiento espacio cumbres,3.0,2.0,157.0,25.7613408,-100.4237978,2025-05-05 17:25:47.268265,lamudi,16000.0,101.91082802547773,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey centro,2.0,2.0,,25.67495745,-100.32559443,2025-05-05 17:25:47.268265,lamudi,23000.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en obrera,2.0,2.0,74.0,25.6751848,-100.2974563,2025-05-05 17:25:47.268265,lamudi,29000.0,391.8918918918919,19039,19,039,Monterrey,renta,vertical
departamento en renta en san jeronimo,2.0,2.0,90.0,25.6759262,-100.3533235,2025-05-05 17:25:47.268265,lamudi,24000.0,266.6666666666667,19039,19,039,Monterrey,renta,vertical
casa en renta en paseo de cumbres,4.0,2.0,,25.7584835,-100.4052434,2025-05-05 17:25:47.268265,lamudi,42500.0,,19039,19,039,Monterrey,renta,horizontal
casa en renta en colonial cumbres,4.0,2.0,90.0,25.7346596,-100.3973773,2025-05-05 17:25:47.268265,lamudi,16000.0,177.77777777777777,19039,19,039,Monterrey,renta,horizontal
loft en renta en regina,1.0,1.0,,25.71136443,-100.30934573,2025-05-05 17:25:47.268265,lamudi,15500.0,,19039,19,039,Monterrey,renta,vertical
casa en renta en puerta de hierro,3.0,2.0,,25.752288,-100.4172802,2025-05-05 17:25:47.268265,lamudi,17000.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en la retama,2.0,2.0,105.0,25.6993896,-100.3755765,2025-05-05 17:25:47.268265,lamudi,32000.0,304.7619047619048,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,2.0,90.0,25.596595,-100.259824,2025-05-05 17:25:47.268265,lamudi,36000.0,400.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en la retama,3.0,2.0,258.0,25.6993896,-100.3755765,2025-05-05 17:25:47.268265,lamudi,44000.0,170.54263565891472,19039,19,039,Monterrey,renta,vertical
casa en renta en del carmen,,,,25.6710318,-100.3603161,2025-05-05 17:25:47.268265,lamudi,30000.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en la retama,2.0,2.0,98.0,25.69988473,-100.37619967,2025-05-05 17:25:47.268265,lamudi,36000.0,367.3469387755102,19039,19,039,Monterrey,renta,vertical
departamento en renta en colinas de san jeronimo,3.0,3.0,145.0,25.6862594,-100.3643631,2025-05-05 17:25:47.268265,lamudi,40000.0,275.86206896551727,19039,19,039,Monterrey,renta,vertical
casa en fraccionamiento en renta en cima del bosque,4.0,4.0,360.0,25.7364877,-100.411212,2025-05-05 17:25:47.268265,lamudi,42000.0,116.66666666666669,19039,19,039,Monterrey,renta,horizontal
casa en fraccionamiento en renta en cumbres elite sector villas,3.0,2.0,,25.7443537,-100.403488,2025-05-05 17:25:47.268265,lamudi,21500.0,,19039,19,039,Monterrey,renta,horizontal
casa en renta en cumbres san agustin,2.0,3.0,,25.7669858,-100.4161708,2025-05-05 17:25:47.268265,lamudi,14000.0,,19039,19,039,Monterrey,renta,horizontal
casa en renta en cooperativa cuauhtemoc,3.0,3.0,,25.684808,-100.375547,2025-05-05 17:25:47.268265,lamudi,50000.0,,19039,19,039,Monterrey,renta,horizontal
departamento en renta en monterrey centro,2.0,2.0,65.0,25.6849539,-100.3342939,2025-05-05 17:25:47.268265,lamudi,22000.0,338.46153846153845,19039,19,039,Monterrey,renta,vertical
casa en renta en real de cumbres,2.0,2.0,140.0,25.75075098,-100.40523257,2025-05-05 17:25:47.268265,lamudi,16500.0,117.85714285714286,19039,19,039,Monterrey,renta,horizontal
departamento en renta en bosques de satelite,1.0,1.0,23.0,25.597475,-100.268219,2025-05-05 17:25:47.268265,lamudi,11000.0,478.2608695652174,19039,19,039,Monterrey,renta,vertical
departamento en renta en san jeronimo,3.0,2.0,,25.6758362,-100.3546082,2025-05-05 17:25:47.268265,lamudi,68000.0,,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,1.0,1.0,,25.6741046,-100.3234454,2025-05-05 17:25:47.268265,lamudi,13500.0,,19039,19,039,Monterrey,renta,vertical
loft en renta en monterrey centro,1.0,1.0,49.0,25.6695238,-100.3068264,2025-05-05 17:25:47.268265,lamudi,22500.0,459.18367346938777,19039,19,039,Monterrey,renta,vertical
departamento en renta en del paseo residencial,3.0,2.0,110.0,25.6301307,-100.3028277,2025-05-05 17:25:47.268265,lamudi,55000.0,500.0,19039,19,039,Monterrey,renta,vertical
departamento en renta en sonoma,3.0,3.0,275.0,25.61641059999999,-100.3061337,2025-05-05 17:25:47.268265,lamudi,80800.0,293.8181818181818,19039,19,039,Monterrey,renta,vertical
casa en renta en residencial de la sierra,3.0,2.0,175.0,25.582504,-100.2479259,2025-05-05 17:25:47.268265,lamudi,27000.0,154.28571428571428,19039,19,039,Monterrey,renta,horizontal
departamento en renta en del paseo residencial,3.0,2.0,110.0,25.6301307,-100.3028277,2025-05-05 17:25:47.268265,lamudi,57000.0,518.1818181818181,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,1.0,60.0,25.6838707,-100.3133267,2025-05-05 17:25:47.268265,lamudi,17000.0,283.3333333333333,19039,19,039,Monterrey,renta,vertical
departamento en renta en chepevera,2.0,2.0,77.0,25.684548,-100.342941,2025-05-05 17:25:47.268265,lamudi,29000.0,376.6233766233766,19039,19,039,Monterrey,renta,vertical
departamento en renta en colinas de san jeronimo,4.0,3.0,175.0,25.67870948,-100.37069108,2025-05-05 17:25:47.268265,lamudi,46000.0,262.85714285714283,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey,2.0,2.0,90.0,25.6867,-100.3762797,2025-05-05 17:25:47.268265,lamudi,39000.0,433.3333333333333,19039,19,039,Monterrey,renta,vertical
departamento en renta en monterrey centro,2.0,1.0,60.0,25.6841204,-100.3142622,2025-05-05 17:25:47.268265,lamudi,21500.0,358.3333333333333,19039,19,039,Monterrey,renta,vertical
